Maharashtra,Amravati,Maharashtra,Satara,667345.4
Maharashtra,Amravati,Maharashtra,Sindhudurg,872764.4
Maharashtra,Amravati,Maharashtra,Solapur,530056.1
Maharashtra,Amravati,Maharashtra,Thane,677578.4
Maharashtra,Amravati,Maharashtra,Wardha,126703.1
Maharashtra,Amravati,Maharashtra,Washim,139499
Maharashtra,Amravati,Maharashtra,Yavatmal,189542.8
Maharashtra,Aurangabad,Maharashtra,Ahmednagar,155201.2
Maharashtra,Aurangabad,Maharashtra,Akola,241084.3
Maharashtra,Aurangabad,Maharashtra,Amravati,339229.1
Maharashtra,Aurangabad,Maharashtra,Bhandara,601030.5
Maharashtra,Aurangabad,Maharashtra,Bid,166005.9
Maharashtra,Aurangabad,Maharashtra,Buldana,153982
Maharashtra,Aurangabad,Maharashtra,Chandrapur,559054.4
Maharashtra,Aurangabad,Maharashtra,Dhule,186756.4
Maharashtra,Aurangabad,Maharashtra,Garhchiroli,663736.7
Maharashtra,Aurangabad,Maharashtra,Gondiya,614613.1
Maharashtra,Aurangabad,Maharashtra,Greater Bombay,361882.8
Maharashtra,Aurangabad,Maharashtra,Hingoli,234805.1
Maharashtra,Aurangabad,Maharashtra,Jalgaon,131363.2
Maharashtra,Aurangabad,Maharashtra,Jalna,97375.5
Maharashtra,Aurangabad,Maharashtra,Kolhapur,504567
Maharashtra,Aurangabad,Maharashtra,Latur,302397.9
Maharashtra,Aurangabad,Maharashtra,Nagpur,474314
Maharashtra,Aurangabad,Maharashtra,Nanded,314888.4
Maharashtra,Aurangabad,Maharashtra,Nandurbar,229029.4
Maharashtra,Aurangabad,Maharashtra,Nashik,174188
Maharashtra,Aurangabad,Maharashtra,Osmanabad,298767.2
Maharashtra,Aurangabad,Maharashtra,Parbhani,213463.6
Maharashtra,Aurangabad,Maharashtra,Pune,257292.4
Maharashtra,Aurangabad,Maharashtra,Raigarh,421397.8
Maharashtra,Aurangabad,Maharashtra,Ratnagiri,574799.5
Maharashtra,Aurangabad,Maharashtra,Sangli,425747.8
Maharashtra,Aurangabad,Maharashtra,Satara,350845.9
Maharashtra,Aurangabad,Maharashtra,Sindhudurg,611924.7
Maharashtra,Aurangabad,Maharashtra,Solapur,330185.6
Maharashtra,Aurangabad,Maharashtra,Thane,347194.8
Maharashtra,Aurangabad,Maharashtra,Wardha,413412.4
Maharashtra,Aurangabad,Maharashtra,Washim,252863
Maharashtra,Aurangabad,Maharashtra,Yavatmal,341449.7
Maharashtra,Bhandara,Maharashtra,Ahmednagar,701166
Maharashtra,Bhandara,Maharashtra,Akola,375573.7
