State,District,Latitude,Longitude
Karnataka,Bagalkot,16.15860676328503,75.64526070853468
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169
Karnataka,Bangalore Urban,12.901924930747917,77.58685595567866
Karnataka,Belgaum,16.16107219152853,74.72329042357275
Karnataka,Bellary,15.074377548209377,76.47228471074374
Karnataka,Bidar,17.950361730769224,77.19459961538459
Karnataka,Bijapur,16.84015316666667,75.95909166666665
Karnataka,Chamrajnagar,11.952479999999998,77.02384959999996
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249
Karnataka,Chitradurga,14.29102220394736,76.57821957236843
Karnataka,Dakshin Kannad,12.891204548174732,74.96216277678026
Karnataka,Davanagere,14.330414586709884,75.91723841166937
Karnataka,Dharwad,15.343831376975173,75.13831264108359
Karnataka,Gadag,15.507128256880746,75.64861302752298
Karnataka,Gulbarga,17.070459515951594,76.87503850385033
Karnataka,Hassan,12.945098749999998,76.11049549999997
Karnataka,Haveri,14.737582809224318,75.3961230607966
Karnataka,Kodagu,12.39684468085106,75.79336595744688
Karnataka,Kolar,13.312799881235172,78.01376947743476
Karnataka,Koppal,15.651253271028034,76.1617048598131
Karnataka,Mandya,12.574901806239744,76.81570098522172
Karnataka,Mysore,12.248100259403367,76.52881802853437
Karnataka,Raichur,16.050795353982295,76.87368606194688
Karnataka,Shimoga,14.063845885634592,75.17882078103197
Karnataka,Tumkur,13.592467760074971,77.02297966260545
Karnataka,Udupi,13.450404228534568,74.72009990316337
Karnataka,Uttar Kannand,14.538957976244202,74.35229081341113
