sources,sinks,Time-create-MCMF,Time-create-simplex,Time-run-MCMF,Time-run-simplex,Time-run-capacity-maxflow,Time-run-capacity-simplex
50,200,0.01655364,0.016336918,0.672884226,0.099682808,6.290732861,5.638029814
50,300,0.024680853,0.026293755,1.138296127,0.184764862,15.34354067,8.770652533
50,400,0.031775475,0.031409264,1.64750123,0.247019291,13.97553062,11.0018208
50,500,0.086071491,0.039686441,2.137590647,0.31799674,20.39470458,16.18583488
50,600,0.047818184,0.048181057,2.758219242,0.423070431,34.45529151,16.64539909
50,700,0.060043573,0.059275627,3.540088415,0.503241062,41.29802537,27.12965703
50,800,0.069018126,0.068712711,4.148668528,0.576817036,36.83350086,25.09438539
50,900,0.076623678,0.077269554,5.019715071,0.699581146,43.20896006,30.50282884
50,1000,0.084730387,0.083567858,5.797894239,0.791842222,51.37097239,36.12970281
50,1200,0.168452501,0.103165388,7.557911396,0.972603798,53.18135071,35.12325716
50,1400,0.121602058,0.121136427,9.159714699,1.114418983,67.7199595,44.34252357
50,1600,0.212945461,0.138973713,11.66441464,1.493805885,76.24487805,48.48616743
50,1800,0.157525539,0.154277802,13.73680043,1.634398222,97.31461596,53.01127267
50,2000,0.25706768,0.17510438,16.21990275,1.889777184,103.2377062,58.2650497
