sources,sinks,Time-create-MCMF,Time-create-simplex,Time-run-MCMF,Time-run-simplex,Time-run-capacity-maxflow,Time-run-capacity-simplex
300,200,0.13166356086730957,0.09979867935180664,8.523791074752808,0.8572490215301514,81.68953728675842,30.8360493183136
300,300,0.23453545570373535,0.16296982765197754,18.772225856781006,1.2943754196166992,78.87677526473999,40.18748712539673
300,400,0.213026762008667,0.20566534996032715,18.38151454925537,1.9006493091583252,71.5734851360321,67.9103171825409
300,500,0.2539095878601074,0.254819393157959,25.093831539154053,2.499577760696411,101.84745788574219,97.2228331565857
300,600,0.30522751808166504,0.30886173248291016,32.228113889694214,2.9630990028381348,217.0496702194214,125.32455945014954
300,700,0.364396333694458,0.36164355278015137,39.195611000061035,3.2339305877685547,165.32872939109802,116.9430844783783
300,800,0.4078230857849121,0.40926671028137207,46.89644908905029,3.6278793811798096,169.3671772480011,145.04217958450317
300,900,0.4454798698425293,0.4462747573852539,55.127070903778076,4.454638719558716,179.9032597541809,166.59972310066223
300,1000,0.5280113220214844,0.521589994430542,66.42585110664368,5.125065088272095,254.07690811157227,223.7882993221283
300,1000,0.5314548015594482,0.523395299911499,65.23224830627441,5.0373969078063965,183.72370314598083,163.73970866203308
300,1200,0.6311843395233154,0.6366994380950928,97.19297456741333,5.483985185623169,235.23776507377625,221.17804098129272
300,1400,0.7069244384765625,0.6981871128082275,102.14634156227112,7.313630819320679,297.62383699417114,268.92798829078674
300,1600,0.8291890621185303,0.8274555206298828,127.6702024936676,8.500494956970215,398.24263644218445,247.76775860786438
300,1800,0.908743143081665,0.9102017879486084,149.86278557777405,9.211835145950317,388.79546880722046,291.9846167564392
300,2000,1.051543951034546,1.0535898208618164,178.4955792427063,10.859418869018555,424.9498498439789,363.29160594940186
