sources,sinks,Time-create-MWOD,Time-create-MWD,Time-run-MCMF,Time-run-simplex,Time-run-capacity
1000,100,0.18868088722229004,0.17357492446899414,22.37340497970581,20.2379207611084,868.9132096767426
1000,200,0.3474102020263672,0.35132431983947754,58.692519426345825,54.075555086135864,1774.3568749427795
1000,300,0.5157229900360107,0.5237727165222168,105.55880546569824,98.72869062423706,2482.3292434215546
1000,400,0.672398567199707,0.6777293682098389,155.64674735069275,144.5866298675537,3252.182605743408
1000,500,0.8449966907501221,0.8502137660980225,209.8891327381134,196.26571202278137,4109.810289621353
1000,600,1.0063872337341309,1.008533000946045,264.23524022102356,250.85153651237488,4924.4851770401
1000,700,1.370922327041626,1.1885619163513184,323.94394612312317,311.4104549884796,5678.468805551529
1000,800,1.3694100379943848,1.3757133483886719,387.525128364563,366.54865288734436,6332.058423280716
1000,900,1.5245959758758545,1.5120642185211182,436.42620849609375,414.22212171554565,7149.530382633209
1000,1000,1.6817822456359863,1.6788768768310547,675.3494036197662,669.162561416626,7595.962082862854
1000,1200,2.032405138015747,2.0177600383758545,626.3651113510132,603.5820310115814,8949.754915714264
1000,1400,2.3694140911102295,2.3689589500427246,751.1986064910889,723.7135133743286,10341.752385854721
1000,1600,2.7557313442230225,2.7071282863616943,901.406482219696,866.6183204650879,11207.695954799652
1000,1800,3.0784459114074707,3.0944948196411133,1036.0245385169983,997.6731505393982,NA
