sources,sinks,Time-create-MWOD,Time-create-MWD,Time-run-MCMF,Time-run-simplex,Time-run-capacity
600,100,0.10536646842956543,0.12078475952148438,10.588221788406372,9.414777994155884,366.8800313472748
600,200,0.2574796676635742,0.226670503616333,28.801292181015015,25.91004228591919,705.8651685714722
600,300,0.3273289203643799,0.3329427242279053,49.21878719329834,44.937270641326904,1024.5226352214813
600,400,0.4261660575866699,0.43238377571105957,69.03545022010803,63.379804372787476,1361.6025459766388
600,500,0.5278830528259277,0.5351448059082031,93.3165237903595,86.53363823890686,1671.0457220077515
600,600,0.627856969833374,0.6433627605438232,158.46616458892822,145.5180778503418,1943.6323964595795
600,700,0.9150137901306152,0.7742230892181396,145.45086073875427,135.60511112213135,2270.707545518875
600,800,0.9985179901123047,0.8621642589569092,169.07978701591492,162.5063030719757,2345.3729372024536
600,900,1.0035910606384277,0.991248607635498,194.89527702331543,181.7215940952301,2584.384488582611
600,1000,1.0865111351013184,1.0929105281829834,221.56425166130066,208.708993434906,2848.5743293762207
600,1200,1.287121295928955,1.2798316478729248,269.6287021636963,247.6688747406006,2975.217108488083
600,1400,1.546212911605835,1.5253379344940186,328.932231426239,309.85865783691406,3419.5489768981934
600,1600,1.7289810180664062,1.7361350059509277,375.0300614833832,350.0570025444031,5383.637535095215
600,1800,2.0126473903656006,2.0334208011627197,434.42503929138184,411.387727022171,5389.887079000473
600,2000,2.2361931800842285,2.2240805625915527,500.55977630615234,469.8857696056366,5107.778720140457
